Temperature	Pressure	Density	Volume	InternalEnergy	Enthalpy	Entropy	Cv	Cp	SoundSpd	Joule-Thomson	Viscosity	Therm.Cond.	Surf.Tension	Density	Volume	InternalEnergy	Enthalpy	Entropy	Cv	Cp	SoundSpd.	Joule-Thomson	Viscosity	Therm.Cond.
538.16	5.0861	43.055	0.023226	20.780	20.898	52.799	56.168	91.002	1083.0	0.050768	99.667	0.59990	0.022510	1.4329	0.69790	46.776	50.325	107.48	46.881	80.617	497.70	14.241	18.006	0.055138
543.16	5.5038	42.600	0.023474	21.225	21.354	53.624	55.958	92.295	1060.1	0.068167	97.581	0.59382	0.021334	1.5586	0.64161	46.726	50.257	106.84	47.745	83.891	496.00	13.689	18.208	0.056929
548.16	5.9473	42.130	0.023736	21.674	21.816	54.451	55.760	93.716	1036.6	0.087120	95.543	0.58753	0.020161	1.6944	0.59019	46.665	50.175	106.19	48.634	87.470	494.07	13.161	18.416	0.058838
553.16	6.4176	41.646	0.024012	22.130	22.284	55.281	55.575	95.285	1012.6	0.10784	93.546	0.58101	0.018991	1.8412	0.54312	46.594	50.080	105.53	49.549	91.402	491.92	12.656	18.630	0.060882
558.16	6.9157	41.145	0.024304	22.591	22.759	56.114	55.405	97.024	987.81	0.13057	91.585	0.57427	0.017824	2.0002	0.49995	46.512	49.969	104.86	50.493	95.745	489.52	12.171	18.852	0.063081
563.16	7.4429	40.626	0.024615	23.058	23.241	56.952	55.251	98.964	962.39	0.15560	89.653	0.56730	0.016662	2.1725	0.46030	46.417	49.843	104.19	51.468	100.57	486.87	11.704	19.084	0.065461
568.16	8.0003	40.088	0.024945	23.532	23.732	57.795	55.116	101.14	936.25	0.18330	87.744	0.56009	0.015506	2.3596	0.42380	46.308	49.698	103.50	52.476	105.97	483.94	11.254	19.326	0.068056
573.16	8.5891	39.528	0.025298	24.014	24.232	58.644	55.000	103.60	909.35	0.21409	85.852	0.55263	0.014357	2.5631	0.39015	46.184	49.535	102.79	53.521	112.06	480.72	10.820	19.580	0.070906
578.16	9.2107	38.946	0.025677	24.505	24.741	59.502	54.909	106.40	881.64	0.24850	83.969	0.54491	0.013217	2.7851	0.35905	46.044	49.351	102.07	54.606	118.99	477.19	10.400	19.849	0.074063
583.16	9.8664	38.337	0.026085	25.005	25.262	60.370	54.844	109.63	853.08	0.28719	82.090	0.53691	0.012087	3.0280	0.33025	45.886	49.144	101.32	55.736	126.93	473.31	9.9917	20.136	0.077595
588.16	10.558	37.699	0.026526	25.516	25.796	61.250	54.811	113.37	823.59	0.33097	80.205	0.52861	0.010968	3.2946	0.30352	45.707	48.912	100.55	56.914	136.16	469.07	9.5940	20.442	0.081590
593.16	11.286	37.028	0.027007	26.039	26.343	62.144	54.816	117.78	793.10	0.38090	78.307	0.52000	0.0098622	3.5886	0.27866	45.506	48.651	99.753	58.148	147.01	464.42	9.2051	20.774	0.086166
598.16	12.053	36.319	0.027534	26.576	26.907	63.056	54.868	123.05	761.50	0.43834	76.384	0.51106	0.0087723	3.9144	0.25547	45.279	48.358	98.917	59.444	159.97	459.33	8.8230	21.135	0.091481
603.16	12.860	35.567	0.028116	27.129	27.490	63.989	54.979	129.48	728.65	0.50514	74.424	0.50174	0.0077005	4.2777	0.23377	45.022	48.029	98.040	60.814	175.73	453.72	8.4457	21.532	0.097753
608.16	13.709	34.763	0.028767	27.701	28.095	64.948	55.165	137.51	694.33	0.58390	72.412	0.49204	0.0066497	4.6862	0.21339	44.730	47.656	97.112	62.269	195.35	447.55	8.0708	21.976	0.10529
613.16	14.603	33.895	0.029503	28.296	28.727	65.940	55.454	147.89	658.19	0.67845	70.327	0.48191	0.0056235	5.1499	0.19418	44.397	47.232	96.120	63.831	220.49	440.70	7.6954	22.478	0.11454
618.16	15.542	32.949	0.030350	28.921	29.393	66.976	55.889	161.96	619.67	0.79472	68.138	0.47137	0.0046262	5.6832	0.17596	44.012	46.747	95.049	65.529	253.93	433.05	7.3159	23.057	0.12618
623.16	16.531	31.899	0.031349	29.585	30.103	68.071	56.551	182.29	577.89	0.94231	65.798	0.46045	0.0036635	6.3074	0.15854	43.562	46.183	93.875	67.412	300.82	424.37	6.9274	23.741	0.14130
628.16	17.572	30.701	0.032572	30.302	30.875	69.251	57.605	214.29	531.62	1.1370	63.228	0.44942	0.0027430	7.0562	0.14172	43.026	45.517	92.560	69.570	371.78	414.35	6.5224	24.574	0.16181
633.16	18.668	29.283	0.034150	31.101	31.739	70.563	59.405	270.46	479.63	1.4036	60.300	0.43914	0.0018755	7.9897	0.12516	42.366	44.703	91.038	72.189	493.16	402.34	6.0880	25.640	0.19151
638.16	19.824	27.514	0.036345	32.029	32.750	72.089	62.697	386.04	422.42	1.7776	56.804	0.43238	0.0010785	9.2366	0.10826	41.501	43.648	89.166	75.759	753.82	386.90	5.5951	27.122	0.24018
643.16	21.046	25.052	0.039918	33.224	34.065	74.068	69.181	815.66	359.72	2.3626	52.251	0.44552	0.00038699	11.209	0.089212	40.175	42.053	86.489	82.286	1744.9	362.76	4.9491	29.666	0.34985
